0	1	▁TE	1
0	2	▁S	2
0	3	▁PLAY	3
0	4	▁TURN	0
0	5	▁HIGH	0
0	6	▁	0
0	7	▁IN	0
0	8	▁DE	0
0	9	▁MAKE	0
0	10	▁CHA	0
0	11	▁SE	0
0	12	▁ME	34
0	13	▁A	36
0	14	▁CO	41
0	15	▁HE	42
1	16	LL	0
2	17	ING	0
3	20	▁NEW	0
4	21	▁ON	0
4	22	▁OF	0
5	23	EST	0
6	25	LOW	0
6	26	VEN	43
7	27	C	0
8	28	C	0
8	29	H	44
9	30	▁ME	0
10	32	NG	0
11	33	T	0
12	37	DI	0
13	38	UT	0
14	19	OL	0
15	19	AT	0
16	31	▁ME	0
17	39	▁A	0
18	95	▁MO	0
19	18	ING	0
20	44	S	0
21	45	▁MY	4
21	46	▁THE	0
21	47	▁ALL	18
22	48	F	0
22	45	▁MY	5
22	49	▁THE	0
22	47	▁ALL	19
23	50	▁	6
23	51	▁FA	35
24	50	▁	7
24	51	▁FA	33
25	24	EST	0
26	36	T	0
27	52	RE	0
28	53	RE	0
29	58	UM	0
30	40	▁A	0
31	41	▁A	0
32	60	E	0
33	67	▁THE	0
34	59	▁THE	0
35	34	T	0
36	84	IL	0
37	59	UM	0
38	43	O	0
39	74	▁SO	0
40	92	▁TE	12
40	93	▁CO	13
41	96	▁JO	0
42	109	D	0
43	42	▁A	0
44	76	▁CHA	0
45	75	▁SO	0
46	77	▁T	10
46	78	▁	14
46	79	▁A	20
47	68	▁THE	0
48	45	▁MY	5
48	49	▁THE	0
48	47	▁ALL	19
49	77	▁T	11
49	78	▁	15
49	79	▁A	21
50	80	VO	0
51	81	N	0
52	85	A	0
53	86	A	0
54	97	EN	0
55	54	RE	0
56	97	ES	0
57	56	RE	0
58	91	ID	0
59	51	▁FA	0
60	69	▁THE	0
61	97	ED	0
62	61	E	0
63	97	E	0
64	63	E	0
65	130	EN	0
66	65	E	0
67	94	▁TE	0
68	101	▁	0
69	105	▁COL	0
70	50	▁	8
70	51	▁FA	38
70	108	▁TE	39
71	70	▁THE	0
72	50	▁	9
72	51	▁FA	37
72	108	▁TE	40
73	72	▁THE	0
74	97	NG	0
75	98	UND	0
76	82	N	0
77	97	V	0
78	99	L	0
79	102	IR	0
80	103	LU	0
81	62	▁SP	0
82	83	N	0
83	97	EL	0
84	18	ATION	0
85	71	SE	0
86	73	SE	0
87	122	TURE	0
88	87	A	0
89	97	TURE	0
90	89	A	0
91	104	I	0
92	97	A	0
93	64	FF	0
94	106	MP	0
95	97	DE	0
96	97	KE	0
97
98	112	BO	0
99	97	IGHT	0
100	116	IGHT	0
101	100	L	0
102	111	▁CON	0
103	97	ME	0
104	113	F	0
105	114	OR	0
106	88	ER	0
107	90	ER	0
108	107	MP	0
109	115	J	0
110	123	ITION	0
111	110	D	0
112	97	X	0
113	18	Y	0
114	120	▁TO	0
115	35	US	0
116	97	S	0
117	66	IGHT	0
118	131	▁DE	26
118	130	▁ONE	27
118	130	▁TWO	28
118	130	▁THREE	29
118	130	▁FOUR	30
118	132	▁F	31
118	130	▁SIX	32
119	118	Y	0
120	124	▁RE	16
120	55	▁G	17
121	125	▁SIX	22
121	126	▁SE	23
121	117	▁E	24
121	127	▁NI	25
121	128	▁T	0
122	121	▁TO	0
123	97	ER	0
124	97	D	0
125	65	TE	0
126	125	VEN	0
127	125	NE	0
128	129	W	0
129	119	ENT	0
130	131	▁DE	0
131	57	G	0
132	130	IVE	0
